Date,Open,High,Low,Close,Adj Close,Volume,RHT
2014-10-14,54.500000,54.930000,54.090000,54.310001,54.310001,1740600,RHT
2014-10-15,53.380001,55.130001,52.529999,54.869999,54.869999,2732100,RHT
2014-10-16,53.790001,55.820000,53.730000,54.930000,54.930000,1978200,RHT
2014-10-17,55.410000,56.549999,55.340000,55.689999,55.689999,1669900,RHT
2014-10-20,55.240002,56.419998,54.939999,56.340000,56.340000,1401200,RHT
2014-10-21,56.590000,57.500000,56.349998,57.130001,57.130001,1434500,RHT
2014-10-22,56.770000,56.770000,54.709999,54.799999,54.799999,2586800,RHT
2014-10-23,55.279999,56.000000,55.150002,55.509998,55.509998,1619400,RHT
2014-10-24,55.770000,56.189999,55.200001,56.020000,56.020000,1490000,RHT
2014-10-27,55.900002,56.380001,55.630001,56.169998,56.169998,1096200,RHT
2014-10-28,56.369999,57.389999,56.240002,57.369999,57.369999,1155900,RHT
2014-10-29,57.310001,57.669998,56.650002,56.849998,56.849998,1112000,RHT
2014-10-30,56.750000,58.430000,56.730000,58.250000,58.250000,1835600,RHT
2014-10-31,59.090000,59.240002,58.740002,58.919998,58.919998,1522300,RHT
2014-11-03,58.930000,59.560001,58.660000,59.150002,59.150002,1763200,RHT
2014-11-04,58.849998,59.369999,58.730000,59.150002,59.150002,1683400,RHT
2014-11-05,59.520000,59.610001,58.990002,59.590000,59.590000,1282200,RHT
2014-11-06,59.680000,60.849998,59.580002,60.740002,60.740002,1714300,RHT
2014-11-07,60.840000,61.299999,60.520000,61.299999,61.299999,1756900,RHT
2014-11-10,61.310001,61.570000,61.000000,61.410000,61.410000,1531500,RHT
2014-11-11,61.560001,61.599998,60.799999,61.299999,61.299999,1548700,RHT
2014-11-12,61.139999,61.660000,61.070000,61.410000,61.410000,1221800,RHT
2014-11-13,61.430000,61.990002,60.770000,61.130001,61.130001,1562900,RHT
2014-11-14,61.080002,62.470001,61.049999,62.360001,62.360001,1918300,RHT
2014-11-17,62.139999,63.330002,61.939999,63.000000,63.000000,2740800,RHT
2014-11-18,63.029999,63.619999,63.000000,63.220001,63.220001,1595700,RHT
2014-11-19,63.090000,63.090000,62.040001,62.939999,62.939999,1391600,RHT
2014-11-20,62.389999,63.139999,62.060001,62.790001,62.790001,1065200,RHT
2014-11-21,63.540001,63.689999,61.849998,62.250000,62.250000,1804500,RHT
2014-11-24,62.270000,62.540001,61.990002,62.340000,62.340000,1014700,RHT
2014-11-25,62.340000,62.660000,61.889999,62.000000,62.000000,1132000,RHT
2014-11-26,62.099998,62.209999,61.759998,62.099998,62.099998,803600,RHT
2014-11-28,62.200001,62.770000,61.900002,62.150002,62.150002,723000,RHT
2014-12-01,62.000000,62.509998,61.480000,61.509998,61.509998,1285700,RHT
2014-12-02,61.770000,62.160000,61.139999,61.430000,61.430000,1438300,RHT
2014-12-03,61.369999,62.540001,61.369999,62.139999,62.139999,1220700,RHT
2014-12-04,62.119999,62.320000,61.580002,61.680000,61.680000,1789700,RHT
2014-12-05,61.720001,61.900002,61.330002,61.680000,61.680000,1178500,RHT
2014-12-08,61.070000,61.400002,59.959999,60.060001,60.060001,2145500,RHT
2014-12-09,59.259998,59.759998,58.750000,59.099998,59.099998,2859900,RHT
2014-12-10,59.090000,59.480000,58.599998,58.700001,58.700001,2167300,RHT
2014-12-11,58.840000,59.590000,58.279999,58.419998,58.419998,1749100,RHT
2014-12-12,58.250000,58.889999,57.869999,57.869999,57.869999,1812400,RHT
2014-12-15,58.310001,59.299999,58.189999,58.950001,58.950001,2608100,RHT
2014-12-16,58.330002,59.549999,58.000000,58.230000,58.230000,2617900,RHT
2014-12-17,58.549999,59.799999,58.099998,59.480000,59.480000,2012200,RHT
2014-12-18,60.689999,61.750000,60.340000,61.500000,61.500000,4581100,RHT
2014-12-19,67.379997,70.129997,67.000000,68.040001,68.040001,10488700,RHT
2014-12-22,68.150002,69.309998,68.110001,68.889999,68.889999,2454200,RHT
2014-12-23,69.459999,70.660004,69.260002,70.449997,70.449997,1899300,RHT
2014-12-24,70.470001,71.750000,70.459999,70.919998,70.919998,911600,RHT
2014-12-26,70.930000,71.769997,70.529999,71.089996,71.089996,898400,RHT
2014-12-29,70.940002,71.070000,69.849998,70.290001,70.290001,1356000,RHT
2014-12-30,70.110001,70.779999,69.349998,69.480003,69.480003,1196000,RHT
2014-12-31,69.529999,69.980003,69.059998,69.139999,69.139999,1175600,RHT
2015-01-02,69.440002,69.809998,68.330002,68.989998,68.989998,1131200,RHT
2015-01-05,68.650002,68.800003,67.779999,68.089996,68.089996,1409500,RHT
2015-01-06,68.540001,69.309998,66.669998,67.500000,67.500000,2678700,RHT
2015-01-07,67.989998,68.849998,67.650002,68.800003,68.800003,1840500,RHT
2015-01-08,69.160004,70.279999,68.669998,69.029999,69.029999,2634500,RHT
2015-01-09,69.180000,69.419998,68.519997,68.739998,68.739998,2013600,RHT
2015-01-12,69.019997,69.250000,67.440002,67.620003,67.620003,1479100,RHT
2015-01-13,68.000000,69.040001,66.849998,67.440002,67.440002,1460000,RHT
2015-01-14,65.440002,66.599998,64.889999,66.379997,66.379997,2052000,RHT
2015-01-15,66.790001,66.830002,64.300003,64.370003,64.370003,2133300,RHT
