Date,Open,High,Low,Close,Adj Close,Volume,JVA
2014-09-23,5.700000,5.710000,5.540000,5.560000,5.560000,44200,JVA
2014-09-24,5.560000,5.620000,5.400000,5.430000,5.430000,70000,JVA
2014-09-25,5.340000,5.630000,5.340000,5.590000,5.590000,57300,JVA
2014-09-26,5.560000,5.730000,5.550000,5.650000,5.650000,68800,JVA
2014-09-29,5.620000,5.620000,5.500000,5.580000,5.580000,25100,JVA
2014-09-30,5.610000,5.710000,5.480000,5.490000,5.490000,19900,JVA
2014-10-01,5.520000,5.520000,5.260000,5.270000,5.270000,57000,JVA
2014-10-02,5.270000,5.690000,5.260000,5.640000,5.640000,94100,JVA
2014-10-03,5.720000,5.720000,5.430000,5.550000,5.550000,58300,JVA
2014-10-06,5.600000,6.000000,5.600000,5.770000,5.770000,199100,JVA
2014-10-07,5.760000,5.860000,5.500000,5.570000,5.570000,81200,JVA
2014-10-08,5.390000,5.710000,5.290000,5.660000,5.660000,45500,JVA
2014-10-09,5.670000,5.870000,5.420000,5.510000,5.510000,130600,JVA
2014-10-10,5.450000,5.710000,5.350000,5.400000,5.400000,68100,JVA
2014-10-13,5.430000,5.550000,5.360000,5.480000,5.480000,35900,JVA
2014-10-14,5.600000,5.600000,5.330000,5.370000,5.370000,53100,JVA
2014-10-15,5.310000,5.560000,5.270000,5.450000,5.450000,55900,JVA
2014-10-16,5.440000,5.950000,5.400000,5.900000,5.900000,160500,JVA
2014-10-17,5.980000,6.000000,5.600000,5.710000,5.710000,61200,JVA
2014-10-20,5.700000,5.820000,5.600000,5.650000,5.650000,32000,JVA
2014-10-21,5.640000,5.820000,5.640000,5.740000,5.740000,14200,JVA
2014-10-22,5.740000,5.840000,5.640000,5.730000,5.730000,22600,JVA
2014-10-23,5.730000,5.730000,5.670000,5.710000,5.710000,34900,JVA
2014-10-24,5.750000,5.750000,5.550000,5.580000,5.580000,26100,JVA
2014-10-27,5.560000,5.610000,5.520000,5.530000,5.530000,6200,JVA
2014-10-28,5.550000,5.690000,5.550000,5.580000,5.580000,10900,JVA
2014-10-29,5.580000,5.700000,5.580000,5.670000,5.670000,15600,JVA
2014-10-30,5.680000,5.710000,5.620000,5.710000,5.710000,16200,JVA
2014-10-31,5.750000,5.770000,5.660000,5.720000,5.720000,15100,JVA
2014-11-03,5.640000,5.780000,5.640000,5.730000,5.730000,21200,JVA
2014-11-04,5.710000,5.780000,5.640000,5.780000,5.780000,8900,JVA
2014-11-05,5.780000,5.840000,5.750000,5.780000,5.780000,14600,JVA
2014-11-06,5.780000,5.780000,5.720000,5.740000,5.740000,11000,JVA
2014-11-07,5.710000,5.780000,5.660000,5.680000,5.680000,29000,JVA
2014-11-10,5.690000,5.730000,5.610000,5.620000,5.620000,15100,JVA
2014-11-11,5.620000,5.730000,5.540000,5.580000,5.580000,46300,JVA
2014-11-12,5.560000,5.610000,5.450000,5.490000,5.490000,58100,JVA
2014-11-13,5.460000,5.700000,5.390000,5.430000,5.430000,41200,JVA
2014-11-14,5.400000,5.580000,5.380000,5.520000,5.520000,31900,JVA
2014-11-17,5.540000,5.560000,5.500000,5.550000,5.550000,17700,JVA
2014-11-18,5.540000,5.570000,5.490000,5.540000,5.540000,30800,JVA
2014-11-19,5.560000,5.570000,5.470000,5.530000,5.530000,16100,JVA
2014-11-20,5.530000,5.550000,5.460000,5.500000,5.500000,13500,JVA
2014-11-21,5.520000,5.540000,5.410000,5.460000,5.460000,23300,JVA
2014-11-24,5.520000,5.640000,5.460000,5.610000,5.610000,42200,JVA
2014-11-25,5.640000,5.690000,5.580000,5.670000,5.670000,31600,JVA
2014-11-26,5.700000,5.750000,5.600000,5.700000,5.700000,31900,JVA
2014-11-28,5.670000,5.850000,5.520000,5.700000,5.700000,19600,JVA
2014-12-01,5.600000,5.840000,5.300000,5.350000,5.350000,81400,JVA
2014-12-02,5.340000,5.480000,5.300000,5.430000,5.430000,21800,JVA
2014-12-03,5.390000,5.490000,5.380000,5.420000,5.420000,31300,JVA
2014-12-04,5.400000,5.590000,5.400000,5.560000,5.560000,26600,JVA
2014-12-05,5.570000,5.640000,5.370000,5.470000,5.470000,33400,JVA
2014-12-08,5.410000,5.630000,5.300000,5.360000,5.360000,42900,JVA
2014-12-09,5.210000,5.480000,4.500000,5.260000,5.260000,98600,JVA
