Date,Open,High,Low,Close,Adj Close,Volume,MAR
2013-09-18,43.270000,43.939999,42.880001,43.820000,41.497829,1922300,MAR
2013-09-19,43.810001,43.990002,43.529999,43.580002,41.270554,1811600,MAR
2013-09-20,43.480000,43.509998,43.029999,43.169998,40.882282,3263900,MAR
2013-09-23,43.169998,43.279999,42.709999,43.000000,40.721279,1807700,MAR
2013-09-24,43.000000,43.410000,42.849998,43.060001,40.778114,2737300,MAR
2013-09-25,43.049999,43.150002,42.599998,42.810001,40.541355,1785600,MAR
2013-09-26,42.779999,43.110001,42.400002,42.910000,40.636055,2099000,MAR
2013-09-27,42.619999,42.770000,42.000000,42.349998,40.105732,2404500,MAR
2013-09-30,41.959999,42.160000,41.669998,42.060001,39.831093,2357300,MAR
2013-10-01,42.020000,42.549999,41.990002,42.540001,40.285667,1974300,MAR
2013-10-02,42.299999,42.490002,41.820000,42.470001,40.219368,1881900,MAR
2013-10-03,42.310001,42.419998,41.750000,42.279999,40.039440,2337800,MAR
2013-10-04,42.270000,42.669998,42.070000,42.599998,40.342480,1382300,MAR
2013-10-07,42.200001,42.330002,41.950001,41.959999,39.736401,1353100,MAR
2013-10-08,42.000000,42.070000,41.419998,41.529999,39.329185,2391400,MAR
2013-10-09,41.650002,41.779999,41.259998,41.279999,39.092434,2861600,MAR
2013-10-10,41.759998,42.119999,41.389999,41.980000,39.755341,2666500,MAR
2013-10-11,42.020000,42.540001,41.860001,42.299999,40.058380,2032000,MAR
2013-10-14,42.000000,42.110001,41.759998,42.040001,39.812164,1964500,MAR
2013-10-15,41.970001,42.540001,41.770000,42.290001,40.048912,3091900,MAR
2013-10-16,42.590000,43.029999,42.549999,42.970001,40.692875,2916800,MAR
2013-10-17,42.889999,43.340000,42.619999,43.310001,41.014866,1637500,MAR
2013-10-18,43.500000,43.910000,43.279999,43.500000,41.194794,2801500,MAR
2013-10-21,42.299999,43.990002,42.299999,43.980000,41.649349,1417200,MAR
2013-10-22,44.110001,44.230000,43.439999,43.889999,41.564125,2266500,MAR
2013-10-23,43.380001,43.830002,43.340000,43.590000,41.280018,1855700,MAR
2013-10-24,44.049999,44.680000,43.919998,44.610001,42.245964,2425800,MAR
2013-10-25,44.750000,44.750000,44.250000,44.490002,42.132324,1388900,MAR
